,date,close
291,2022-07-27,270646.28
292,2022-08-03,271752.42
293,2022-08-10,273479.32
294,2022-08-17,272879.2
295,2022-08-24,270706.33
296,2022-08-31,269102.87
297,2022-09-07,268571.69
298,2022-09-16,269230.7
299,2022-09-21,268714.08
300,2022-09-28,271231.76
301,2022-10-05,270946.43
302,2022-10-12,270901.14
303,2022-10-19,270158.67
304,2022-10-26,268979.71
305,2022-11-02,266660.74
306,2022-11-09,265458.95
307,2022-11-16,264946.29
308,2022-11-23,263011.25
309,2022-11-30,261877.38
310,2022-12-07,260676.49
311,2022-12-14,259275.29
312,2022-12-21,258915.19
313,2022-12-28,257917.82
314,2023-01-04,255660.78
315,2023-01-11,254934.94
316,2023-01-18,253316.39
317,2023-01-25,254632.42
318,2023-02-01,253777.9
319,2023-02-08,254855.64
320,2023-02-15,254311.87
321,2023-02-22,255862.61
322,2023-03-01,256915.95
323,2023-03-09,256602.36
324,2023-03-15,257479.07
325,2023-03-22,256982.3
326,2023-03-29,255997.39
327,2023-04-05,255503.23
328,2023-04-12,254579.58
329,2023-04-19,255262.93
330,2023-04-26,255210.95
331,2023-05-03,260118.17
332,2023-05-10,259966.15
333,2023-05-17,260960.66
334,2023-05-24,261755.1
335,2023-05-31,261092.38
336,2023-06-07,262258.53
337,2023-06-14,263464.66
338,2023-06-21,263986.1
339,2023-06-28,265953.35
340,2023-07-05,266048.92
341,2023-07-12,265820.03
342,2023-07-19,265105.97
343,2023-07-26,265211.84
344,2023-08-02,264312.51
345,2023-08-09,268114.16
346,2023-08-16,269031.53
347,2023-08-23,271506.67
348,2023-08-30,272182.77
349,2023-09-06,273510.84
350,2023-09-13,275555.99
351,2023-09-20,276984.77
352,2023-09-27,277555.51
353,2023-10-04,278455.53
354,2023-10-11,280283.98
355,2023-10-18,280149.17
356,2023-10-25,281601.21
357,2023-11-01,282709.06
358,2023-11-08,283840.79
359,2023-11-15,285497.97
360,2023-11-22,286147.47
361,2023-11-29,286436.14
362,2023-12-06,286592.02
363,2023-12-13,286224.46
364,2023-12-20,285092.83
